Date,Close,Volume,Open,High,Low
08-02-24,$189.56 ,83034040,$189.00 ,$191.62 ,$185.58 
09-02-24,$193.57 ,84476350,$190.18 ,$194.12 ,$189.48 
12-02-24,$188.13 ,95498600,$192.11 ,$194.73 ,$187.28 
13-02-24,$184.02 ,86759480,$183.99 ,$187.26 ,$182.11 
14-02-24,$188.71 ,81202990,$185.30 ,$188.89 ,$183.35 
15-02-24,$200.45 ,120831800,$189.16 ,$200.88 ,$188.86 
16-02-24,$199.95 ,111346700,$202.06 ,$203.17 ,$197.40 
20-02-24,$193.76 ,104545800,$196.13 ,$198.60 ,$189.13 
21-02-24,$194.77 ,103844000,$193.36 ,$199.44 ,$191.95 
22-02-24,$197.41 ,92739460,$194.00 ,$198.32 ,$191.36 
23-02-24,$191.97 ,78841920,$195.31 ,$197.57 ,$191.50 
26-02-24,$199.40 ,111747100,$192.29 ,$201.78 ,$192.00 
27-02-24,$199.73 ,108645400,$204.04 ,$205.60 ,$198.26 
28-02-24,$202.04 ,99806170,$200.42 ,$205.30 ,$198.44 
29-02-24,$201.88 ,85906970,$204.18 ,$205.28 ,$198.45 
01-03-24,$202.64 ,82243120,$200.52 ,$204.52 ,$198.50 
04-03-24,$188.14 ,134334900,$198.73 ,$199.75 ,$186.72 
05-03-24,$180.74 ,119660800,$183.05 ,$184.59 ,$177.57 
06-03-24,$176.54 ,107920900,$179.99 ,$181.58 ,$173.70 
07-03-24,$178.65 ,102129000,$174.35 ,$180.04 ,$173.70 
08-03-24,$175.34 ,85544640,$181.50 ,$182.73 ,$174.70 
11-03-24,$177.77 ,85391530,$175.45 ,$182.87 ,$174.80 
12-03-24,$177.54 ,87391680,$177.77 ,$179.43 ,$172.41 
13-03-24,$169.48 ,106524500,$173.05 ,$176.05 ,$169.15 
14-03-24,$162.50 ,126325700,$167.77 ,$171.17 ,$160.51 
15-03-24,$163.57 ,97146830,$163.16 ,$165.18 ,$160.76 
18-03-24,$173.80 ,108214400,$170.02 ,$174.72 ,$165.90 
19-03-24,$171.32 ,77271430,$172.36 ,$172.82 ,$167.42 
20-03-24,$175.66 ,83846730,$173.00 ,$176.25 ,$170.82 
21-03-24,$172.82 ,73178010,$176.39 ,$178.18 ,$171.80 
22-03-24,$170.83 ,75580640,$166.69 ,$171.20 ,$166.30 
25-03-24,$172.63 ,74228620,$168.76 ,$175.24 ,$168.73 
26-03-24,$177.67 ,113186200,$178.58 ,$184.25 ,$177.38 
27-03-24,$179.83 ,81804040,$181.41 ,$181.91 ,$176.00 
28-03-24,$175.79 ,77654840,$177.45 ,$179.57 ,$175.30 
01-04-24,$175.22 ,81562130,$176.17 ,$176.75 ,$170.21 
02-04-24,$166.63 ,116650600,$164.75 ,$167.69 ,$163.43 
03-04-24,$168.38 ,82950140,$164.02 ,$168.82 ,$163.28 
04-04-24,$171.11 ,123162000,$170.07 ,$177.19 ,$168.01 
05-04-24,$164.90 ,143157600,$169.08 ,$170.86 ,$160.51 
08-04-24,$172.98 ,104423300,$169.34 ,$174.50 ,$167.79 
09-04-24,$176.88 ,103232700,$172.91 ,$179.22 ,$171.92 
10-04-24,$171.76 ,84532410,$173.04 ,$174.93 ,$170.01 
11-04-24,$174.60 ,94515990,$172.55 ,$175.88 ,$168.51 
12-04-24,$171.05 ,64722670,$172.34 ,$173.81 ,$170.36 
15-04-24,$161.48 ,100245300,$170.24 ,$170.69 ,$161.38 
16-04-24,$157.11 ,96999960,$156.74 ,$158.19 ,$153.75 
17-04-24,$155.45 ,82439720,$157.64 ,$158.33 ,$153.78 
18-04-24,$149.93 ,96098830,$151.25 ,$152.20 ,$148.70 
19-04-24,$147.05 ,87074500,$148.97 ,$150.94 ,$146.22 
22-04-24,$142.05 ,107097600,$140.56 ,$144.44 ,$138.80 
23-04-24,$144.68 ,124545100,$143.33 ,$147.26 ,$141.11 
24-04-24,$162.13 ,181178000,$162.84 ,$167.97 ,$157.51 
25-04-24,$170.18 ,126427500,$158.96 ,$170.88 ,$158.36 
26-04-24,$168.29 ,109815700,$168.85 ,$172.12 ,$166.37 
29-04-24,$194.05 ,243869700,$188.42 ,$198.87 ,$184.54 
30-04-24,$183.28 ,127031800,$186.98 ,$190.95 ,$182.84 
01-05-24,$179.99 ,92829720,$182.00 ,$185.86 ,$179.01 
02-05-24,$180.01 ,89148040,$182.86 ,$184.60 ,$176.02 
